date,strategy,ret_net,turnover,cost,n_assets,cov_method,cost_bps,seed
2003-03-31,1/N,-0.07024699871208541,0.0,0.0,34,sample,5,137
2003-03-31,GA-UQ,0.04313014595555865,0.0,0.0,34,sample,5,137
2003-04-30,1/N,0.17501176955843853,0.06792824299288255,3.396412149644128e-05,34,sample,5,137
2003-04-30,GA-UQ,0.047752038711212225,0.30637672575667435,0.00015318836287833717,34,sample,5,137
2003-05-31,1/N,0.05353190287343253,0.08873135705686638,4.4365678528433194e-05,34,sample,5,137
2003-05-31,GA-UQ,0.05045748565492933,0.13152032656997348,6.576016328498674e-05,34,sample,5,137
2003-06-30,1/N,0.03212558252740981,0.06769661655422204,3.3848308277111024e-05,34,sample,5,137
2003-06-30,GA-UQ,-0.047703672261381225,0.1257787147206271,6.288935736031356e-05,34,sample,5,137
2003-07-31,1/N,0.05298292866637371,0.08525571311648739,4.2627856558243696e-05,34,sample,5,137
2003-07-31,GA-UQ,-0.010161005065436782,0.018877989141948073,9.438994570974036e-06,34,sample,5,137
2003-08-31,1/N,0.0391186781361559,0.056562389875960975,2.8281194937980487e-05,34,sample,5,137
2003-08-31,GA-UQ,0.023270928362820093,0.278255423791003,0.0001391277118955015,34,sample,5,137
2003-09-30,1/N,-0.03567798515167903,0.05390435338488627,2.6952176692443136e-05,34,sample,5,137
2003-09-30,GA-UQ,0.018989276606693167,0.17743844849213794,8.871922424606897e-05,34,sample,5,137
2003-10-31,1/N,0.0876985668278593,0.057321731400811364,2.8660865700405682e-05,34,sample,5,137
2003-10-31,GA-UQ,0.014624364124831337,0.41461642620486894,0.00020730821310243448,34,sample,5,137
2003-11-30,1/N,0.014169484344665254,0.06919936247436151,3.459968123718075e-05,34,sample,5,137
2003-11-30,GA-UQ,0.05302974577401938,0.385121719791823,0.00019256085989591151,34,sample,5,137
2003-12-31,1/N,-0.0011564352923715598,0.048614103445944024,2.430705172297201e-05,34,sample,5,137
2003-12-31,GA-UQ,-0.021061642125583934,0.4699213668189562,0.0002349606834094781,34,sample,5,137
2004-01-31,1/N,0.04800654823531113,0.04389192378110868,2.194596189055434e-05,34,sample,5,137
2004-01-31,GA-UQ,0.03849629282512709,0.17527354076240045,8.763677038120022e-05,34,sample,5,137
2004-02-29,1/N,0.037679283672145736,0.05671334945058758,2.835667472529379e-05,34,sample,5,137
2004-02-29,GA-UQ,0.07784342229280185,0.5037949156218468,0.0002518974578109234,34,sample,5,137
2004-03-31,1/N,-0.020307780229662425,0.06676589858758236,3.3382949293791185e-05,34,sample,5,137
2004-03-31,GA-UQ,0.04227701509440612,0.21892146960609393,0.00010946073480304697,34,sample,5,137
2004-04-30,1/N,0.008498501503966176,0.04841538435509293,2.4207692177546468e-05,34,sample,5,137
2004-04-30,GA-UQ,0.035378635788454196,0.40183999516450375,0.0002009199975822519,34,sample,5,137
2004-05-31,1/N,-0.011421554390825994,0.04949718199300593,2.4748590996502964e-05,34,sample,5,137
2004-05-31,GA-UQ,0.041633145043021694,0.49904702055875766,0.00024952351027937884,34,sample,5,137
2004-06-30,1/N,0.03064992208720895,0.040543483716571724,2.027174185828586e-05,34,sample,5,137
2004-06-30,GA-UQ,0.03421451266835114,0.17088413523859516,8.544206761929758e-05,34,sample,5,137
2004-07-31,1/N,-0.03753445356726557,0.043543048859607345,2.1771524429803673e-05,34,sample,5,137
2004-07-31,GA-UQ,-0.02940866892484815,0.37036115905857114,0.00018518057952928558,34,sample,5,137
2004-08-31,1/N,-0.021450360299037803,0.0335720003829896,1.67860001914948e-05,34,sample,5,137
2004-08-31,GA-UQ,0.024253664751204565,0.3865470952596446,0.0001932735476298223,34,sample,5,137
2004-09-30,1/N,-0.00037001761953294203,0.05653213242125431,2.8266066210627154e-05,34,sample,5,137
2004-09-30,GA-UQ,0.03067473408504076,0.3245840019635125,0.00016229200098175626,34,sample,5,137
2004-10-31,1/N,0.025219606258484354,0.04722034753127935,2.3610173765639677e-05,34,sample,5,137
2004-10-31,GA-UQ,0.062124494353027034,0.8477651414640769,0.00042388257073203844,34,sample,5,137
2004-11-30,1/N,0.03491045427235525,0.04070443627211974,2.0352218136059872e-05,34,sample,5,137
2004-11-30,GA-UQ,0.034192486875361895,0.7030905415060766,0.00035154527075303835,34,sample,5,137
2004-12-31,1/N,0.018652335904767222,0.04284357224463524,2.142178612231762e-05,34,sample,5,137
2004-12-31,GA-UQ,-0.001932818912187885,0.538726719025246,0.000269363359512623,34,sample,5,137
2005-01-31,1/N,0.024055030707372093,0.03830681359388601,1.9153406796943005e-05,34,sample,5,137
2005-01-31,GA-UQ,-0.003873053878874462,0.42098945081313466,0.00021049472540656734,34,sample,5,137
2005-02-28,1/N,0.03799177345702073,0.042643157470357004,2.1321578735178502e-05,34,sample,5,137
2005-02-28,GA-UQ,0.060000797966817565,0.41840433668852395,0.00020920216834426197,34,sample,5,137
2005-03-31,1/N,-0.014309263237717557,0.04993126963490874,2.496563481745437e-05,34,sample,5,137
2005-03-31,GA-UQ,-0.095044872412627,0.19334863466010846,9.667431733005423e-05,34,sample,5,137
2005-04-30,1/N,-0.05918816669121445,0.049091254184006075,2.454562709200304e-05,34,sample,5,137
2005-04-30,GA-UQ,-0.150818418198428,0.21215967954176412,0.00010607983977088206,34,sample,5,137
2005-05-31,1/N,0.05923199239601731,0.040503280674783634,2.0251640337391817e-05,34,sample,5,137
2005-05-31,GA-UQ,0.06210090143398339,0.31134248387895985,0.00015567124193947992,34,sample,5,137
2005-06-30,1/N,0.03827448055666081,0.04488339020816326,2.2441695104081632e-05,34,sample,5,137
2005-06-30,GA-UQ,0.04203378060003818,0.29773996400044567,0.00014886998200022282,34,sample,5,137
2005-07-31,1/N,0.0514113404189297,0.028074061745664555,1.4037030872832278e-05,34,sample,5,137
2005-07-31,GA-UQ,0.06884777979847673,0.5788007175162034,0.0002894003587581017,34,sample,5,137
2005-08-31,1/N,-0.012107514157130584,0.03433638097910576,1.7168190489552882e-05,34,sample,5,137
2005-08-31,GA-UQ,0.019377717568274437,0.41366042842630185,0.00020683021421315093,34,sample,5,137
2005-09-30,1/N,0.05149070828539665,0.04002221383961395,2.0011106919806974e-05,34,sample,5,137
2005-09-30,GA-UQ,0.029790993647060567,0.2568025492253113,0.00012840127461265566,34,sample,5,137
2005-10-31,1/N,-0.03842013517913392,0.0359745005543432,1.7987250277171603e-05,34,sample,5,137
2005-10-31,GA-UQ,-0.09028673754705771,0.13315419115113036,6.657709557556519e-05,34,sample,5,137
2005-11-30,1/N,0.03443471526790145,0.039852827071629904,1.992641353581495e-05,34,sample,5,137
2005-11-30,GA-UQ,0.05526148100702858,0.36879913802538034,0.00018439956901269018,34,sample,5,137
2005-12-31,1/N,0.021759882880587004,0.03924949866206455,1.9624749331032276e-05,34,sample,5,137
2005-12-31,GA-UQ,0.00985014499351815,0.3539868931599071,0.00017699344657995356,34,sample,5,137
2006-01-31,1/N,0.04986880571900029,0.04258452437100112,2.129226218550056e-05,34,sample,5,137
2006-01-31,GA-UQ,0.15416194677622783,0.32021426378397044,0.00016010713189198523,34,sample,5,137
2006-02-28,1/N,0.015316498645376524,0.028036228136513908,1.4018114068256955e-05,34,sample,5,137
2006-02-28,GA-UQ,-0.00429094341026895,0.5298397887844669,0.00026491989439223347,34,sample,5,137
2006-03-31,1/N,0.03459714272933943,0.04788073210731128,2.394036605365564e-05,34,sample,5,137
2006-03-31,GA-UQ,0.07581052819567338,0.17257710932267187,8.628855466133594e-05,34,sample,5,137
2006-04-30,1/N,-0.00044613439483346616,0.04183020496397766,2.091510248198883e-05,34,sample,5,137
2006-04-30,GA-UQ,-0.040026546125763854,0.043261325924309375,2.1630662962154688e-05,34,sample,5,137
2006-05-31,1/N,-0.06357201547846478,0.03773246825539111,1.8866234127695555e-05,34,sample,5,137
2006-05-31,GA-UQ,-0.09666223066330377,0.16155192027074514,8.077596013537257e-05,34,sample,5,137
2006-06-30,1/N,-0.00249033225435547,0.03886893278079881,1.9434466390399405e-05,34,sample,5,137
2006-06-30,GA-UQ,0.026894783117013103,0.19343650316655145,9.671825158327573e-05,34,sample,5,137
2006-07-31,1/N,-0.015505435685956753,0.03313987908493561,1.6569939542467806e-05,34,sample,5,137
2006-07-31,GA-UQ,0.0279430257258445,0.4374400536254151,0.00021872002681270756,34,sample,5,137
2006-08-31,1/N,0.054488296183477426,0.038839666177064414,1.9419833088532206e-05,34,sample,5,137
2006-08-31,GA-UQ,0.029682111788272573,0.26588329981783576,0.0001329416499089179,34,sample,5,137
2006-09-30,1/N,0.01546287976673018,0.057490380988281374,2.8745190494140688e-05,34,sample,5,137
2006-09-30,GA-UQ,0.03446331728048931,0.07617317296202737,3.8086586481013684e-05,34,sample,5,137
2006-10-31,1/N,0.02630239227511741,0.03194546713474139,1.5972733567370695e-05,34,sample,5,137
2006-10-31,GA-UQ,0.0650401163330147,0.10111932368995308,5.055966184497654e-05,34,sample,5,137
2006-11-30,1/N,0.005509477622107574,0.032986260072917266,1.6493130036458634e-05,34,sample,5,137
2006-11-30,GA-UQ,0.017274017197087915,0.03531057684214478,1.765528842107239e-05,34,sample,5,137
2006-12-31,1/N,0.04020959798034402,0.03716206343136362,1.8581031715681812e-05,34,sample,5,137
2006-12-31,GA-UQ,0.021080234175978475,0.22183299319912445,0.00011091649659956222,34,sample,5,137
2007-01-31,1/N,0.027930801327494134,0.03929339316259329,1.9646696581296643e-05,34,sample,5,137
2007-01-31,GA-UQ,0.08924552382444868,0.1982935500586466,9.91467750293233e-05,34,sample,5,137
